Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
« È una strada pericolosa .,cerco cerco cerco mi mi mi cerco cerco cerca cerco cerco lo cerco cerco foto cerco cerco se cerco cerco,30.6944,0.0,0.0,-0.2767,-0.3133
Il candidato ha sufficiente attività didattica ed assistenziale documentata .,anche anche anche infatti infatti infatti anche anche spesso spesso spesso anche anche scritta scritta scritta anche anche scrivere scrivere,46.5741,0.0,0.0,-0.3302,-0.2667
I motivi possono essere molti,italiano italiano italiano è è è che che che questo questo questo perché perché perché questo questo solo solo solo,28.0556,0.0,0.0,-0.2129,-0.1238
È implicito nelle regole stesse del gioco .,anche anche anche infatti infatti infatti anche anche spesso spesso spesso anche anche italiano anche anche film film film anche,42.4107,0.0,0.0,0.0152,-0.0945
"L' articolo 8 è sostituito dal seguente : "" Art",sono sono sono infatti infatti infatti sono sono possono possono possono sono sono film film film sono film sono sono,16.5311,0.0,0.0,0.0989,0.0569
La Commissione procede all' analisi dettagliata dei lavori in collaborazione per determinare l' apporto individuale del candidato .,anche anche anche infatti infatti infatti anche anche film film film video film film sono film film questo film film,18.5743,0.0,0.0,0.1774,0.0444
La Commissione procede all' analisi dettagliata dei lavori in collaborazione per determinare l' apporto individuale dei candidati .,anche anche anche infatti infatti infatti anche anche film film film video film film sono film film questo film film,18.4926,0.0,0.0,0.1774,0.0444
« C' è un problema politico .,anche anche anche infatti infatti infatti anche anche schermo schermo schermo film film film schermo schermo anche film film caso,32.4603,0.0,0.0,-0.437,-0.2658
Qui c' è proprio il punto,italiano italiano italiano anche anche anche sono sono sono possono possono possono sono sono anche anche questo questo film film,32.5463,0.0602,0.0,0.1778,0.3858
"Dopo il comma 1 , aggiungere il seguente comma : « 2 .",sono sono sono italiano italiano italiano anche anche anche sono sono film film film sono film sono sono possono film,19.9242,0.0,0.0,-0.071,-0.0461
Questa è l' unica cosa che l' uno può fare sull' altro,sono sono sono anche anche anche sono sono possono possono possono anche anche possono possono sono sono questo anche anche,18.5101,0.0,0.0,-0.0707,-0.1097
"I risultati ci saranno """,italiano italiano italiano è è è che che che questo questo questo è è questo questo film film film questo,29.7222,0.0,0.0,-0.2596,0.1091
Si è ancora in tempo .,italiano italiano italiano questo questo questo sono sono sono questo questo cerco cerco cerco cerca cerca cerca cerco cerco ho,32.0833,0.0,0.0,-0.0614,-0.1489
Ma c' è una soluzione anche per quello .,anche anche anche scritto scritto scritto scrivere scrivere scrivere leggere leggere leggere scrivere scrivere padrone padrone padrone leggere leggere film,42.7083,0.0,0.0,-0.6864,-0.396
"Certo , storicamente le cose non sono andate proprio così .",anche anche anche infatti anche anche spesso anche anche film film film anche anche leggere leggere leggere film film questo,34.4529,0.0,0.0,-0.2985,-0.2367
è un sogno di pochi,to to to To To To to to mobile mobile mobile mobili mobili mobili mobile mobile vi vi vi Vi,55.0,0.0,0.0,-0.2918,-0.2458
È un sogno di altri .,sono sono sono infatti sono sono possono possono possono sono sono anche anche sono sono film film film sono sono,55.5556,0.0,0.0,-0.2985,-0.1661
Poi sappiamo come andò a finire .,sono sono sono infatti infatti infatti sono sono possono possono possono sono sono anche anche anche sono sono spesso spesso,32.4603,0.0,0.0,-0.012,0.3382
Questa naturalmente è una mia opinione .,italiano italiano italiano anche anche anche infatti infatti infatti anche anche vivere vivere vivere leggere leggere leggere vivere vivere possono,32.4603,0.0,0.0,-0.4319,0.0416
« Non deve fare assolutamente niente .,italiano italiano italiano anche anche anche italiano italiano infatti italiano italiano cerco cerco cerco italiano italiano spagnolo spagnolo spagnolo italiano,32.4603,0.0,0.0,-0.5785,-0.146
"Ecco , questa è la mia opinione",anche anche anche anche anche infatti infatti anche anche infatti infatti infatti,42.4603,0.0,0.0,-0.2239,-0.1923
"Una differenza , però , c' è .",anche anche anche infatti anche anche scritta scritta scritta anche anche leggere leggere leggere scrivere leggere leggere vivere leggere leggere,42.8571,0.0,0.0,-0.5749,-0.3783
"Oggi , qual è la situazione ?",anche anche anche infatti infatti anche anche leggere leggere leggere possono leggere leggere scrivere leggere leggere sono leggere leggere vivere,42.4603,0.0,0.0,-0.6471,-0.1926
"Posto ai voti , l' emendamento 1.47 , è respinto",italiano italiano italiano anche anche anche anche anche film film film film film anche film,20.3373,0.0,0.0,0.1214,0.3234
"Più stimolante , ed è una novità per me .",possono infatti infatti infatti inoltre inoltre inoltre infatti infatti possono possono possono infatti inoltre infatti inoltre anche inoltre inoltre anche,33.6806,0.0,0.0,0.1238,0.0327
La ringrazio comunque per una sua eventuale risposta,uomo uomo uomo donna donna donna uomo uomo segno segno segno nome nome nome segno segno forma forma forma segno,45.6845,0.0,0.0,0.1258,-0.149
Su questo sembrate tutti d' accordo .,anche anche anche italiano italiano italiano anche anche questo questo questo anche anche film film film questo film film per,33.0556,0.0495,0.0,0.0411,-0.0642
Può dire qualcosa al riguardo,", film film film video video video film film per film film libro libro libro film film romanzo romanzo romanzo",55.0,0.0,0.0,-0.2521,-0.1019
Però le cose non sono andate così ?,anche anche anche infatti infatti infatti anche anche inoltre anche anche film film film anche anche leggere leggere leggere anche,33.7302,0.0,0.0,-0.0333,0.0656
Le norme di cui al presente articolo si applicano dal 1º gennaio 1996 .,",, anche anche anche infatti infatti infatti anche anche inoltre infatti infatti presenta presenta presenta infatti infatti oggi infatti",14.2982,0.0,0.0,-0.2702,0.0498
Le norme di cui al presente articolo si applicano dal 1º gennaio 1998 .,", anche anche anche infatti infatti infatti anche anche inoltre infatti infatti presenta presenta presenta infatti infatti inoltre infatti anche",16.9865,0.0,0.0,0.0414,0.3152
"Si deve rivolgere , per saper- ne di più , presso le università degli studi",anche anche anche set set set cerco cerco cerco mi mi mi cerco cerco me me me vita vita vita,13.7668,0.0,0.0,0.2106,-0.0647
"Questo è un elemento incoraggiante """,anche anche anche infatti infatti infatti anche anche possono possono possono anche anche film film film anche anche inoltre infatti,15.8333,0.0,0.0,0.0222,0.5162
Ma questa è un' opinione personale ),italiano italiano italiano un un un anche anche anche questo questo questo anche anche italiano italiano questo questo film film,32.4603,0.0543,0.0,-0.1075,-0.2001
E forse il vero problema è proprio questo,italiano italiano italiano questo questo questo film film film questo questo perché perché perché questo questo solo film film cinema,33.1349,0.0,0.0,-0.0061,0.0015
