Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
La ringrazio dell' attenzione e la saluto cordialmente,Ringrazio per l'attenzione e saluto.,58.5913,0.5126,0,0,0
"Questa sarebbe una cosa positiva "" .",Questa è una cosa straordinaria,86.1111,0.7938,0,0,0
Grazie Si rivolga alle università degli studi .,Si deve rivolgere alle università degli studi,70.0,0.712,0,0,0
E a posteriori è anche facile,E questo è stato davvero un piacere.,67.5321,0.4445,0,0,0
Ma facciamo un passo più avanti .,Ma facciamo un altro passo indietro,41.5675,0.1667,0,0,0
Così non si va da nessuna parte !,Non può andare da nessuna parte.,56.3558,0.6914,0,0,0
""" La misura è colma .",La differenza è enorme,47.5,0.102,0,0,0
"I ricorsi devono , quindi , essere respinti .",I ricorsi venivano respinti,47.7579,0.4406,0,0,0
"La risposta , pressoché unanime , è stata un no",La risposta è ovviamente no.,77.0833,0.8067,0,0,0
Questo è un fatto » .,Questo è un fatto importante,66.6667,0.7938,0,0,0
Si passa all' esame degli emendamenti relativi all' articolo 9 .,Passa all'esame degli emendamenti all'articolo 2 e dei relativi emendamenti,64.6868,0.4637,0,0,0
"Ok , faccio un ulteriore passo indietro",Facciamo dunque un passo indietro.,83.3333,0.8067,0,0,0
"E questo non può essere un caso "" .",Non è un caso facile,70.6349,0.6356,0,0,0
"articolo 36 , inserire il seguente : « Art","Dopo l'articolo 20, è inserito il seguente : « Art",75.8333,0.667,0,0,0
Soprattutto non voglio aver- ne paura,Non ho più paura di paura.,56.9643,0.4189,0,0,0
C' è anche un altro problema,Il problema è un altro.,54.4444,0.3628,0,0,0
Sono d' accordo su tutto .,Sono proprio d'accordo su questo,44.1667,0.0,0,0,0
Questo è molto difficile da capire,è molto difficile da capire.,53.75,0.625,0,0,0
E questo è un fatto importante,Questo è un fatto importante.,18.9286,0.5718,0,0,0
Ma una cosa devo dir- la .,Ma una cosa devo dir - le,52.6984,0.5662,0,0,0
( Seguito dell' esame testo unificato e rinvio ) .,Riprende l'esame e rinviato ad altra seduta,35.5985,0.0633,0,0,0
Non mi sembra proprio il caso .,Non mi sembra il caso,75.8333,0.8203,0,0,0
"Tuttavia , questa è già un' altra storia .",Ma questa è un'altra storia,45.7341,0.3758,0,0,0
è già la seconda volta ! !,è proprio la prima volta!,30.6019,0.526,0,0,0
""" Tecnicamente il lavoro è abbastanza valido .",Il lavoro è molto interessante,63.8095,0.5889,0,0,0
La mia risposta è decisamente no,La risposta è ovviamente no.,37.963,0.7433,0,0,0
- - Qualcosa c' è di strano ?,Che c'è di strano,39.7222,0.7014,0,0,0
"Nata nel 1783 , morì nel 1854",Morì nel 1789.,59.4444,0.3814,0,0,0
"Una cosa , però , è certa .",Una cosa è certa,76.0185,0.7653,0,0,0
Questo è un problema strutturale » .,Questo è un problema enorme,66.6667,0.7938,0,0,0
C' è una differenza tuttavia .,Ma c'è una grande differenza,37.6389,0.6127,0,0,0
Compensa integralmente le spese del giudizio,Compensa le spese del giudizio.,68.5185,0.8067,0,0,0
Per ulteriori informazioni visitate il sito ufficiale del,Per maggiori informazioni visita il sito del,49.6465,0.5068,0,0,0
Questo è un dato di fatto,è un dato di fatto.,44.2063,0.3704,0,0,0
La risposta è quasi certamente no,La risposta è ovviamente no.,62.1032,0.7433,0,0,0
L' obiettivo era stato raggiunto .,Il risultato è raggiunto,70.1587,0.5215,0,0,0
Ma ne sarebbe valsa la pena,Ma ne valeva davvero la pena.,63.9352,0.5357,0,0,0
E non gli si può dare torto .,Non posso dar - gli torto,21.164,0.1449,0,0,0
"Sostituire , inoltre , il comma 2 dell' articolo 2 con il seguente : "" 2 .","Il comma 2 dell'articolo 2 è sostituito dal seguente : "" 2",68.467,0.7149,0,0,0
""" Questa è una bellissima storia .",è proprio una bella storia,42.2817,0.3,0,0,0
