Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
Come possibile una cosa del genere,Come essere possibile una cosa del genere,37.8836,0.8413,0,0,0
Ma con questo non tutto stato ancora detto,Ma non tutto,63.9286,0.4808,0,0,0
Nella produzione viene impiegato latte proveniente da una o due mungiture giornaliere,Nella produzione viene utilizzata un olio diverso da una sola tazza calda,21.4628,0.3676,0,0,0
Questo un altro discorso,Ma questo un altro discorso,100.0,0.996,0,0,0
anche questa un ipotesi,Questa una mia sola ipotesi,100.0,0.996,0,0,0
eletto il candidato che abbia ottenuto la maggioranza assoluta dei voti validamente espressi,eletto il candidato che ottiene la maggioranza assoluta dei voti,100.0,0.9995,0,0,0
Comunque c un piccolo problema,Ma c un piccolo problema,44.6429,0.5111,0,0,0
Il problema infatti quello delle risorse,Il problema quello delle risorse,55.7407,0.75,0,0,0
La risposta semplice no,La risposta semplice no,40.4762,0.3061,0,0,0
Complessivamente il candidato mostra un che buon livello di scientifica per la posizione di ricercatore,Complessivamente il candidato mostra un livello buono di scientifica per la posizione di ricercatore,59.9997,0.9229,0,0,0
All udienza del 18 febbraio 2003 la causa stata trattenuta per la decisione,Alla pubblica udienza dell 11 febbraio 2003 la causa veniva trattenuta in decisione,57.7228,0.7588,0,0,0
La ringrazio anticipatamente e spero in una sua veloce risposta,La ringrazio e spero in una sua gentile risposta,65.496,0.727,0,0,0
tutto un altro discorso,Ma il discorso un altro,52.7778,0.7698,0,0,0
E questo un fatto molto positivo,comunque un fatto positivo,39.4444,0.4406,0,0,0
Questo un fatto estremamente importante,Questo un altro fatto,34.7222,0.25,0,0,0
E le cose potrebbero cambiare,Si possono cambiare le cose,100.0,0.996,0,0,0
L articolo 4 infine dispone l entrata in vigore della legge per il giorno successivo a quello della sua pubblicazione nella Gazzetta Ufficiale,L articolo 4 dispone l entrata in vigore della legge per il giorno successivo alla sua pubblicazione nella,77.2242,0.869,0,0,0
La risposta sicuramente,La risposta ovviamente,37.2222,0.625,0,0,0
ma solo la punta dell iceberg,Ma solo la punta di un iceberg,14.7619,0.5357,0,0,0
L apporto individuale buono rilevante e continuo,L apporto individuale e continua,37.2222,0.6356,0,0,0
Il vero problema un altro,Il problema vero un altro,61.5741,0.9146,0,0,0
Il ricorso fondato,Il ricorso principale fondato,38.8889,0.5215,0,0,0
Richiesta una buona conoscenza della lingua inglese e tedesca,richiesta una buona conoscenza della lingua tedesca,58.4355,0.8552,0,0,0
Certo solo l inizio,Certo solo l inizio,52.6984,0.7361,0,0,0
Ma c ancora un altra considerazione da fare,Ma vi un altra considerazione da fare,47.4206,0.6914,0,0,0
Ma adesso le cose sono cambiate,Ma oggi molte cose sono cambiate,68.6508,0.9375,0,0,0
Ma questa un opinione personale,ma solo un opinione personale,52.7778,0.4573,0,0,0
Come si dice non si fare di tutta l erba un fascio,Ma come suolsi dire non si fare di tutta l erba un fascio,55.463,0.6696,0,0,0
articolo 35 inserire il seguente Art,Dopo l articolo 10 inserito il seguente Art,58.7169,0.8648,0,0,0
Alle parole non corrispondono i fatti,Ma alle parole non bastano i fatti,17.1591,0.7934,0,0,0
Per cortesia qualcuno potrebbe aiutar- me,Per informazioni potete aiutar - me,51.3889,0.2941,0,0,0
Comunque i casi sono due,E allora i casi sono due,72.2222,0.949,0,0,0
Presidente del Consiglio Scalise Ci sono ancora dichiarazioni voto,Presidente del Consiglio Scalise Ci sono altre dichiarazione di voto,76.9444,0.8951,0,0,0
proprio per questo sono i migliori al mondo,Siamo i primi al mondo,44.5833,0.4331,0,0,0
La Commissione prosegue l esame rinviato da ultimo nella seduta del 4 giugno 2003,La Commissione prosegue l esame rinviato nella seduta del 25 giugno 1998,76.25,0.83,0,0,0
Si sostituisca il comma 1 dell articolo 20 con il seguente 1,Il comma 2 dell articolo 23 sostituito dal seguente 2,72.8671,0.6724,0,0,0
Non si fanno le nozze con i fichi secchi,Non si fanno le grandi censure con i chicchi,23.8636,0.1235,0,0,0
E questo solo il primo passo,Ed solo il primo passo,47.6389,0.5889,0,0,0
Ma la vita non questo,Ma la vita non tutta un set,53.8889,0.7212,0,0,0
Si dovrebbe laureare in scienze della formazione primaria,Deve essere laureato in scienze della formazione primaria,66.6667,0.8032,0,0,0
Non ti cambia la vita,Ma la vita non cambia,81.9444,0.7938,0,0,0
Non siamo d accordo,Non sono minimamente d accordo,66.6667,0.5111,0,0,0
Anche le cose da fare sono ben chiare,Ma le cose sono chiare,27.5,0.4642,0,0,0
Il Bollettino edito anche attraverso strumenti telematici,Il Bollettino Ufficiale pubblicato anche su questi strumenti,18.0051,0.3945,0,0,0
Qui purtroppo non sono d accordo,Non sono assolutamente d accordo,66.6667,0.75,0,0,0
Non sarebbe sicuramente la stessa cosa,Non sono esattamente la stessa cosa,66.6667,0.625,0,0,0
Questo ovviamente un peccato,Ed davvero un peccato,70.8333,0.6389,0,0,0
E si sa come va a finire,Sai sempre come a finire,33.8095,0.4331,0,0,0
In attesa di una sua risposta la ringrazio infinitamente,In attesa di una sua risposta ringrazio,70.8868,0.9654,0,0,0
Si passa quindi all esame degli emendamenti all articolo 22,Si passa all esame degli emendamenti relativi all articolo 55,90.9722,0.8994,0,0,0
Questo un pericolo reale,Forse un pericolo reale,66.6667,0.7361,0,0,0
Beh questo un altro discorso,Ma questo un altro discorso,66.6667,0.968,0,0,0
Questo un altro problema,Il problema qui un altro,73.6111,0.75,0,0,0
Questa la domanda,Questa la vera domanda,66.6667,0.6389,0,0,0
Al peggio non c era mai limite,Non c limite al peggio,40.8333,0.5792,0,0,0
Ma questo non un problema,Ma non un problema virtuale,54.3651,0.6233,0,0,0
