Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
facciamo però un passo indietro,facciamo pero un passo indietro,65.4762,0.5889,0.0682,39.8,0,0
l importante è divertir- si,l importante e stato divertir - si,38.1944,0.4509,0.1758,15.6,0,0
questo è un altro problema aperto,e un altro problema aperto,16.6667,0.1695,0.0227,10.4,0,0
è pienamente ragionevole e pienamente libera,e pienamente libera e gratuita,45.8333,0.2,0.0227,12.7,0,0
si poteva andare avanti cosi,posso andare avanti cosi,61.3095,0.4395,0.069,28.1,0,0
per maggiori informazioni consultate questo sito,per maggiori informazioni consulta il sito,73.6111,0.8067,0.1124,38.0,0,0
insomma aprendo un dibattito,voglio aprire un dibattito aperto,52.7778,0.2,0.0227,12.7,0,0
a questo punto tutto dovrebbe essere pronto,a questo punto siamo sicuramente necessarie,60.4167,0.4267,0.0674,25.6,0,0
ci può spiegare di cosa si tratta,ci puo spiegare di che cosa si tratta,54.2201,0.8648,0.1978,70.7,0,0
l articolo 496 del codice penale è sostituito dal seguente art,l articolo 496 del codice penale e sostituito con il seguente art,67.5376,0.9139,0.2917,73.5,0,0
allora che cosa altro fare,che cosa altro fare allora,27.4074,0.6313,0.0227,25.4,0,0
anche questo è un gioco delle parti vergognoso,e un gioco delle parti,66.6667,0.7938,0.0909,66.9,0,0
ringraziando per la cortese attenzione la saluto cordialmente,la ringrazio per l attenzione e la saluto cordialmente,48.1411,0.7472,0.129,43.2,0,0
il momento più bello è stato proprio quello della cena,e stato il momento della cena,26.5792,0.3704,0.0449,15.2,0,0
eppure c è una possibilità,c e un altra possibilita,55.8532,0.5111,0.1364,23.6,0,0
ora le cose sono cambiate,ora molte cose sono cambiate,17.1296,0.6356,0.0682,35.0,0,0
ma ora le cose potrebbero cambiare,ma ora le cose cambieranno,66.6667,0.7938,0.0899,66.9,0,0
quindi qual è la novità,dov e la novita entusiasmante,37.5,0.2,0.0674,12.7,0,0
perciò non c è contraddizione,non possono esser - ci contraddizioni,31.8056,0.098,0.0222,8.1,0,0
e questo è solo l ultimo episodio,e solo l ultimo episodio,46.8651,0.6727,0.1136,54.8,0,0
non è un caso isolato anzi,non e stato un caso isolato,57.1296,0.625,0.1124,32.5,0,0
nel complesso pertanto il candidato riveste un ruolo di chiara preminenza nella presente procedura di valutazione comparativa,nel complesso il candidato riveste un ruolo di chiara preminenza nella presente procedura di valutazione comparativa,63.8395,0.8737,0.3333,76.7,0,0
non ci pensiamo sopra due volte,non possiamo pensare due volte,57.8373,0.4331,0.0682,19.4,0,0
complessivamente sono stati controllati 86 veicoli e 121 persone,in tutto sono stati controllati i computer e le persone,34.6179,0.6724,0.129,42.7,0,0
lo si può definire tale,lo si puo spiegare come ha dovuto,51.3889,0.0962,0.0,6.6,0,0
ma c è un ma,ma c e un ma,12.963,0.75,0.1364,30.2,0,0
alla prima domanda la risposta è sì,la risposta alla prima domanda e si,30.5556,0.6914,0.1111,30.7,0,0
ma il punto è proprio questo,ma qui e il punto,47.4206,0.3758,0.0455,15.8,0,0
vorremmo por- le delle domande,le volevo quindi porre una domanda,59.7222,0.6189,0.0449,19.3,0,0
insomma dare una risposta è difficile,e difficile dare una risposta,71.0185,0.7938,0.1364,66.9,0,0
non è pensabile una notizia più bella,non e una bella notizia,60.7804,0.75,0.1364,42.7,0,0
si applicano le disposizioni del presente articolo commi 3 4 e 5,si applicano le disposizioni dell articolo 3 commi 4 e 5,67.7778,0.8053,0.1277,29.6,0,0
quali sono le opere più importanti,quali sono le sue opere,48.8095,0.3,0.0455,14.1,0,0
comunque per fortuna è andato sempre tutto bene,e per fortuna e andata sempre bene,47.601,0.3651,0.0444,14.5,0,0
in questo non sono d accordo,su questo non possiamo essere d accordo,53.4722,0.4189,0.0444,14.5,0,0
ma questo che cosa vuol dire,che cosa vuol dire questo,49.0741,0.996,0.0909,30.2,0,0
come fa a non capir- lo,come fa a non capire,55.4762,0.6356,0.0682,35.0,0,0
parere favorevole con osservazioni si riprende l esame sospeso nella seduta 21 novembre scorso,parere favorevole con osservazioni riprende l esame sospeso nella seduta del 21 novembre scorso,100.0,0.9998,0.3093,100.0,0,0
di che zona sei,e di che zona sei,66.6667,0.7938,0.0909,66.9,0,0
nella realtà vi è stato tutt altro,in realta e tutto cio,54.7619,0.0,0.0227,4.4,0,0
questa è per me una cosa molto reale,per me era una cosa un po strana,63.6574,0.6048,0.044,15.6,0,0
lo trovate intorno ai 10 euro in enoteca,lo potete trovare in enoteca intorno ai 10 euro,100.0,0.9993,0.2366,100.0,0,0
articolo 43 aggiungere il seguente art,dopo l articolo 43 aggiungere il seguente art,100.0,0.999,0.1978,100.0,0,0
a che ti serve una scuola,a che serve questa scuola,72.2222,0.75,0.0909,42.7,0,0
era ovviamente una battuta anche se pedagogica,ed e una battuta anche se banale,36.1111,0.3074,0.0222,13.1,0,0
adesso le cose sono cambiate decisamente in meglio,ma le cose sono cambiate in meglio,46.7551,0.7632,0.0667,41.1,0,0
"la seduta è tolta ore 12,45","la seduta viene tolta alle ore 12, 45",29.9537,0.6722,0.1739,22.3,0,0
naturalmente è altrettanto vero anche l inverso,e vero anche l inverso,62.963,0.6727,0.1348,54.8,0,0
alla pubblica udienza del 7 dicembre 2004 i ricorsi sono stati trattenuti per la decisione,alla pubblica udienza del 7 dicembre 2004 il ricorso veniva trattenuto in decisione,100.0,0.9998,0.3093,100.0,0,0
non importa,non importa,100.0,0.9375,0.0706,0.0,0,0
è intervenuto quindi l on,e intervenuto poi l on,77.6984,0.7938,0.1364,66.9,0,0
e così infatti era,ed infatti e stato cosi,37.7778,0.3,0.0455,14.1,0,0
che diamine poteva ancora succedere nel resto del fine settimana,che differenza poteva succedere nel resto,20.8466,0.4646,0.0674,17.6,0,0
e l elenco potrebbe ben continuare,e l elenco potrebbe continuare,52.963,0.75,0.0909,42.7,0,0
poi ida guardò verso il mare aperto e vide una nave di legno dall' aspetto antico con bianche vele ondeggianti,poi ida guardo verso il mare aperto e vide una nave di legno dall'aspetto mare agitato con grandi prospettive,33.502,0.5589,0.3077,45.2,0,0
ma cosa gli sarà successo,ma cosa puo essere successo,51.5873,0.6356,0.1136,24.7,0,0
ma questo non fa notizia,non fa una bella notizia,44.6429,0.4331,0.0455,19.4,0,0
questa si che è una notizia,questa si che e una bella notizia,30.5556,0.2885,0.0667,8.6,0,0
c era un problema non avevamo soldi,non c e un problema,61.8056,0.4331,0.0455,19.4,0,0
questa non è però l unica,pero non e l unica,70.0,0.535,0.0455,20.8,0,0
vale però la pena di provar- ci,vale la pena provar - ci,62.9828,0.625,0.1556,32.5,0,0
riprende l indagine conoscitiva sospesa nella seduta del 7 febbraio scorso,riprende l indagine sospesa nella seduta del 7 febbraio scorso,100.0,0.9995,0.2366,100.0,0,0
bene questo è un grosso passo avanti,ed e gia un grosso passo avanti,37.3611,0.4915,0.0444,14.5,0,0
il ricorso è fondato e pertanto dev essere accolto,il ricorso e fondato e deve essere accolto,58.4264,0.8648,0.1978,59.5,0,0
e questa è una realtà,quella milanese e una realta attenta e vivace,45.6944,0.0943,0.022,5.5,0,0
si resta a disposizione per ogni ulteriore chiarimento,restiamo a vostra disposizione per ogni ulteriore chiarimento,62.0503,0.8648,0.1522,59.5,0,0
c è un motivo naturalmente,e un motivo c e,61.3095,0.535,0.0682,20.8,0,0
qual è il problema allora,qual e allora il vero problema,32.6389,0.25,0.0225,10.7,0,0
il numero di telefono è 041 900748,il nostro numero di telefono e 041 900748,24.2201,0.7031,0.2128,27.1,0,0
