Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
"E oggi , a che punto siamo ?",E a che punto siamo,69.6296,0.7938,0,0,0
articolo 119 della Costituzione sostituito dal seguente :,L'articolo 129 della Costituzione è sostituito dal seguente : « Art. 129.,73.4191,0.6244,0,0,0
Un ragionamento che non fa una grinza,Un ragionamento non fa una grinza.,88.0519,0.8552,0,0,0
Ma questa non è una cosa definitiva,Ma non è una cosa facile.,79.1667,0.8413,0,0,0
Disse loro : [ 2 ] « Io oggi ho centovent' anni ; non posso più andare e venire ; inoltre il Signore mi ha detto : Tu non passerai questo Giordano,"Io dico : "" "", non puoi venire da me, perché non posso venire più.",13.3001,0.1471,0,0,0
Questa sarebbe la via d' uscita » .,Questa è la via d'uscita,45.873,0.3758,0,0,0
Effy si presentò a Simo e poi indicò alcuni grumi marrone sparpagliati sull’erba.,Effy si avvicinò a Pinocchio e si avvicino intorno all ’ erba un bi,11.8887,0.2699,0,0,0
"Questa volta , invece , non è così .",Questa volta non è così,85.5556,0.8441,0,0,0
"Ma questa , forse , è un' altra storia .",Ma questa è un'altra storia,43.5417,0.3758,0,0,0
Ugualmente il risultato non cambia,Il risultato non cambia.,61.3889,0.8203,0,0,0
- La risposta è NO .,La risposta è ovviamente NO,66.6667,0.75,0,0,0
- Ne parleremo un' altra volta .,Ma ne parlerò un'altra volta,45.1587,0.3758,0,0,0
"articolo , inserire il seguente : « Art",Dopo l'articolo 20 inserire il seguente : « Art,45.4058,0.413,0,0,0
- Ma a che servono,Ma a che serve veramente?,80.5556,0.8067,0,0,0
E il problema spesso è proprio questo,Questo è il grande problema.,56.9444,0.526,0,0,0
Ulteriori informazioni Per ulteriori informazioni clicca qui,Per ulteriori informazioni clicca qui.,25.4167,0.7217,0,0,0
« Questo è un altro discorso .,Ma questo è un altro discorso,68.5185,0.8067,0,0,0
Lasciar- la riposare per una mezz' ora circa,Lasciare per un'ora in una sola ora.,55.7937,0.3945,0,0,0
L' argomento dovrebbe essere un altro,L'argomento è un altro.,69.8743,0.4615,0,0,0
Si rivolga all' università degli studi,Deve rivolger - si presso le università degli studi.,73.5431,0.6181,0,0,0
"Tuttavia , il risultato non cambia",Ma il risultato non cambia.,66.5873,0.7014,0,0,0
Per ulteriori informazioni consultare il sito :,Per ulteriori informazioni consultare il sito,40.0397,0.6464,0,0,0
Ma questa è un' opinione personale ) .,Ma questa è una mia opinione personale,38.6111,0.2459,0,0,0
Ma c' è una ulteriore problema .,Ma il problema è un altro,85.9548,0.8535,0,0,0
Non era più il caso .,Non è il tuo caso,77.7778,0.75,0,0,0
Questo è uno dei casi,Questo è un caso unico.,84.0278,0.8067,0,0,0
""" Questo è un enorme passo avanti """,è già un grande passo avanti.,68.287,0.7311,0,0,0
Compensa integralmente tra le parti le spese processuali del presente grado del giudizio,Compensa tra le parti le spese del presente grado di giudizio.,59.7949,0.6876,0,0,0
"Il Comitato approva , infine , la proposta di parere del relatore",Il Comitato approva la proposta di parere del relatore.,100.0,0.9995,0,0,0
è ancora questo il problema .,Questo è il grande problema,73.6111,0.75,0,0,0
"Il fatto più importante , però , è un altro",Ma il fatto più grave è un altro.,76.5115,0.8541,0,0,0
