Normal,Simple,SARI,METEOR,ROUGE_F,SPEARMAN_CORRELATION,PEARSON_CORRELATION
Come possibile una cosa del genere,possibile una cosa del genere,28.7927,0.7324,0,0,0
Ma con questo non tutto stato ancora detto,Ma tutto questo non ancora detto,76.6667,0.8929,0,0,0
Nella produzione viene impiegato latte proveniente da una o due mungiture giornaliere,Nella produzione di ogni tipo vengono prodotti anche alcuni piccoli piccolissimessimessime statue,16.7593,0.1838,0,0,0
Questo un altro discorso,Ma questo un altro discorso,100.0,0.996,0,0,0
anche questa un ipotesi,Questa un ipotesi,48.3333,0.2083,0,0,0
eletto il candidato che abbia ottenuto la maggioranza assoluta dei voti validamente espressi,Posto ai voti approvato l articolo 18,18.2955,0.0515,0,0,0
Comunque c un piccolo problema,Ma c un piccolo problema,44.6429,0.5111,0,0,0
Il problema infatti quello delle risorse,Il problema delle risorse,84.4444,0.8099,0,0,0
La risposta semplice no,La risposta semplice no,40.4762,0.3061,0,0,0
Complessivamente il candidato mostra un che buon livello di scientifica per la posizione di ricercatore,Il candidato dimostra un ottimo livello di preparazione e scientifica per la posizione di ricercatore,40.32,0.7614,0,0,0
All udienza del 18 febbraio 2003 la causa stata trattenuta per la decisione,Alla pubblica udienza del 21 febbraio 2003 la causa veniva trattenuta in decisione,65.1249,0.8376,0,0,0
La ringrazio anticipatamente e spero in una sua veloce risposta,La ringrazio e la ringrazio anticipatamente,26.746,0.1282,0,0,0
tutto un altro discorso,Ma questo un altro discorso,72.2222,0.9146,0,0,0
E questo un fatto molto positivo,E questo un altro fatto positivo,100.0,0.9977,0,0,0
Questo un fatto estremamente importante,Questo un altro fatto importante,29.7619,0.2439,0,0,0
E le cose potrebbero cambiare,Ma le cose possono cambiare,73.6111,0.75,0,0,0
L articolo 4 infine dispone l entrata in vigore della legge per il giorno successivo a quello della sua pubblicazione nella Gazzetta Ufficiale,L articolo 4 dispone l entrata in vigore della legge per il giorno successivo alla sua pubblicazione nella,77.2242,0.869,0,0,0
La risposta sicuramente,La risposta stata sempre no,28.8889,0.5859,0,0,0
ma solo la punta dell iceberg,Ma solo la punta dell iceberg,62.126,0.7217,0,0,0
L apporto individuale buono rilevante e continuo,L apporto individuale e positivo,37.2222,0.6356,0,0,0
Il vero problema un altro,Il vero problema un altro,58.7963,0.9146,0,0,0
Il ricorso fondato,Il ricorso fondato,66.6667,0.6134,0,0,0
Richiesta una buona conoscenza della lingua inglese e tedesca,richiesta una buona conoscenza della lingua inglese,100.0,0.9985,0,0,0
Certo solo l inizio,Ma solo l inizio,66.6667,0.7361,0,0,0
Ma c ancora un altra considerazione da fare,Ma c un altra considerazione da fare,51.4423,0.8036,0,0,0
Ma adesso le cose sono cambiate,Ma oggi molte cose sono cambiate,68.6508,0.9375,0,0,0
Ma questa un opinione personale,Ma solo un opinione personale,52.7778,0.4573,0,0,0
Come si dice non si fare di tutta l erba un fascio,Non si fare di tutta l erba un fascio,55.8987,0.6944,0,0,0
articolo 35 inserire il seguente Art,Dopo l articolo 5 inserito il seguente Art,50.7804,0.7361,0,0,0
Alle parole non corrispondono i fatti,Ma le parole non hanno significato,6.9444,0.3125,0,0,0
Per cortesia qualcuno potrebbe aiutar- me,Per favore aiutar - me,48.0556,0.2,0,0,0
Comunque i casi sono due,I casi sono due,66.6667,0.8099,0,0,0
Presidente del Consiglio Scalise Ci sono ancora dichiarazioni voto,Presidente del Consiglio Scalise Sca ScalisE ci sono dichiarazioni del Presidente,51.1706,0.5668,0,0,0
proprio per questo sono i migliori al mondo,Sono i migliori dei tempi,57.9167,0.4991,0,0,0
La Commissione prosegue l esame rinviato da ultimo nella seduta del 4 giugno 2003,La Commissione prosegue l esame rinviato nella seduta del 25 giugno 1998,76.25,0.83,0,0,0
Si sostituisca il comma 1 dell articolo 20 con il seguente 1,Il comma 1 dell articolo 2 sostituito con il seguente 1,46.3366,0.4222,0,0,0
Non si fanno le nozze con i fichi secchi,Non facciamo le nozze in casa,57.8373,0.3276,0,0,0
E questo solo il primo passo,Ed solo il primo passo,47.6389,0.5889,0,0,0
Ma la vita non questo,Ma la vita non questa,53.8889,0.75,0,0,0
Si dovrebbe laureare in scienze della formazione primaria,Si deve iscrivere alla scuola primaria primaria,17.8968,0.082,0,0,0
Non ti cambia la vita,Non cambia la vita,59.7222,0.7653,0,0,0
Non siamo d accordo,Non sono del tutto d accordo,66.6667,0.5011,0,0,0
Anche le cose da fare sono ben chiare,Le cose sono da fare,32.8535,0.6559,0,0,0
Il Bollettino edito anche attraverso strumenti telematici,Il sito consultabile anche attraverso i computer,16.9444,0.3235,0,0,0
Qui purtroppo non sono d accordo,Non sono del tutto d accordo,66.6667,0.7353,0,0,0
Non sarebbe sicuramente la stessa cosa,Non proprio la stessa cosa,66.6667,0.6356,0,0,0
Questo ovviamente un peccato,Ed un peccato,72.2222,0.6553,0,0,0
E si sa come va a finire,Sa come a finire,30.5556,0.4406,0,0,0
In attesa di una sua risposta la ringrazio infinitamente,In attesa di una vostra gentile risposta ringrazio,69.4444,0.9498,0,0,0
Si passa quindi all esame degli emendamenti all articolo 22,Si passa all esame degli emendamenti all articolo 2,69.1498,0.8018,0,0,0
Questo un pericolo reale,Questo un pericolo reale,52.6984,0.7361,0,0,0
Beh questo un altro discorso,Ma questo un altro discorso,66.6667,0.968,0,0,0
Questo un altro problema,Questo un altro problema,44.6429,0.5215,0,0,0
Questa la domanda,Questa la mia domanda,66.6667,0.6389,0,0,0
Al peggio non c era mai limite,Non c limite al peggio,40.8333,0.5792,0,0,0
Ma questo non un problema,Non un mio problema,55.5556,0.375,0,0,0
Per informazioni telefonare allo 0498010047,Per informazioni telefonare allo 0516480704,66.6667,0.7938,0,0,0
Ma Quale il problema,Ma allora qual il problema,55.5556,0.5111,0,0,0
I conti insomma non tornano,Ma i conti non tornano,70.0,0.75,0,0,0
Cosa puoi dir- ci in proposito,Cosa puoi dire a questo proposito,67.1627,0.7353,0,0,0
Per ulteriori informazioni telefonare al numero verde 800 211537,Per informazioni telefonare al numero 054348482,56.2698,0.6205,0,0,0
Personalmente su questo punto sono molto d accordo,Su questo punto siamo molto d accordo,70.2742,0.9221,0,0,0
questo sarebbe un discorso troppo lungo,Questo un discorso lungo,60.4762,0.6389,0,0,0
Correvano intorno rovesciando i bidoni della spazzatura e azzuffandosi come fanno cani e gatti,I cani si stavano mangiando i topi e si stavano facendo i gattini,11.604,0.1351,0,0,0
Che ha fatto un ottimo lavoro,Ha fatto un ottimo lavoro,60.1058,0.6727,0,0,0
Come si fare questo,Come posso fare questo,58.3333,0.3061,0,0,0
Sospendo pertanto la seduta che alle 18,Sospendo la seduta che alle 16,100.0,0.9977,0,0,0
Il sito disponibile anche in inglese francese e spagnolo,Il sito anche in inglese,64.0741,0.9146,0,0,0
Potrebbe essere l inizio della fine,stato l inizio della fine,66.6667,0.968,0,0,0
No non lo infatti,No non essere vero,70.8333,0.9922,0,0,0
era caos e confusione ovunque,Tutto questo era solo una confusione,34.7222,0.1961,0,0,0
Questa infatti la questione,Questa la questione vera,61.6667,0.6389,0,0,0
I risultati si sono visti,I risultati sono stati ottenuti,11.7063,0.2,0,0,0
Il giudizio complessivo discreto,Il giudizio complessivo discreto,52.6984,0.6009,0,0,0
La ringrazio anticipatamente e porgo cordiali saluti,La ringrazio e le porgo cordiali saluti,84.3915,0.8757,0,0,0
Mi pare buona come cosa,Mi sembra una buona cosa,56.4484,0.4,0,0,0
Bene ma allora il problema un altro,Il problema un altro,53.8889,0.7653,0,0,0
La posta in gioco quindi alta e chiara,La posta in gioco alta,66.6667,0.8203,0,0,0
Si passa pertanto all esame degli emendamenti relativi all articolo 13,Si passa all esame degli emendamenti all articolo 2,54.6289,0.8018,0,0,0
Le cose ovviamente non stanno proprio,Le cose non stanno proprio,72.1296,0.7938,0,0,0
Sussistono tuttavia giusti motivi per disporre l integrale compensazione delle spese di lite tra le parti,Sussistono giusti motivi per disporre tra le parti la compensazione delle spese di questo grado di,40.4274,0.766,0,0,0
Ma sempre la stessa cosa comunque,Ma la stessa cosa,66.6667,0.7653,0,0,0
non una buona notizia,Non una buona notizia,66.6667,0.8099,0,0,0
In attesa di una pronta risposta le porgo i miei cordiali saluti,In attesa di una vostra risposta porgo cordiali saluti,62.0587,0.7687,0,0,0
quasi l alba,Ma l alba,28.8889,0.4808,0,0,0
Il primo passo stato fatto,Il primo passo fatto,66.6667,0.7653,0,0,0
Questo un altro problema aperto,Questo un problema aperto,72.4206,0.7361,0,0,0
Arrivar- ci non era facile,Non era facile da raggiungere,48.3333,0.2439,0,0,0
Spero di essere stata d aiuto ciao,Spero di essere stata d aiuto,48.0952,0.3333,0,0,0
La Sottocommissione approva quindi la proposta del relatore,La Commissione approva la proposta di parere favorevole del relatore,10.8466,0.6233,0,0,0
Naturalmente questo un mio parere,Ma solo un mio parere,48.6111,0.375,0,0,0
un passo nella giusta direzione anche se tardivo,un passo nella giusta direzione,59.7222,0.892,0,0,0
La viceversa era un altra,La un altra,77.7778,0.755,0,0,0
Ma in fu esattamente il contrario di,Ma in questo caso vero,51.6667,0.2,0,0,0
La Commissione prosegue l esame rinviato da ultimo nella seduta del 4 maggio 2004,La Commissione prosegue l esame rinviato nella seduta del 25 maggio 2005,88.5516,0.9163,0,0,0
Le prospettive della nostra economia intanto sono purtroppo quelle che sono,Le prospettive della nostra economia sono le migliori,27.2884,0.3477,0,0,0
Nata nel 1843 nel 1897,Nato nel 1786 nel 1859,75.3373,0.7938,0,0,0
Preannuncia quindi il proprio voto favorevole sulla proposta di parere del relatore,Preannuncia pertanto il proprio voto contrario sulla proposta di parere del relatore,50.717,0.7958,0,0,0
Ma questa non una,Ma non una,73.3333,0.625,0,0,0
E potrebbe non essere l ultima,E non l ultima,70.0,0.7653,0,0,0
La ringrazio per le sue care parole,La ringrazio per le sue preziose parole,35.8225,0.7212,0,0,0
La proposta messa ai voti approvata all,La proposta viene approvata all,35.6836,0.6286,0,0,0
Conseguentemente sostituire i commi 1 e 2 con il seguente 1,I commi da 2 a 5 sono sostituiti con i seguenti 2,100.0,0.9997,0,0,0
Quali consigli darebbe ai genitori,Quali consigli dare ai bambini,46.3889,0.1,0,0,0
La situazione non migliora anzi,La situazione non migliora,66.6667,0.8099,0,0,0
Conseguentemente all articolo 5 sostituire il comma 2 con il seguente 2,All articolo 8 il comma 1 sostituito dal seguente 1,59.8092,0.6724,0,0,0
Nella prima area si potrebbe produrre un inventario dell esistente insieme ad una prima grossolana valutazione e classificazione,Nella fase di progettazione si procede all analisi di una lista di progetti che hanno una collocazione di,15.6603,0.0926,0,0,0
Potrebbe ma la un altra,Ma la un altra,44.6429,0.6389,0,0,0
Non una buona notizia,Non una buona notizia,66.6667,0.8099,0,0,0
L articolo 11 infine reca la copertura finanziaria,L articolo 4 reca la copertura finanziaria,49.5442,0.7454,0,0,0
Il cicalino a tutto volume e lo spavento provocato dal suo suono fece cadere Ida di schiena,Il rumore di Clara fece il rumore di un rumore di uccellino,2.5,0.0909,0,0,0
E soprattutto di chi la colpa,E la colpa di chi,44.4444,0.2206,0,0,0
Ma chi vuol prendere in giro quello,Ma chi vuole prendere in giro,64.0741,0.7353,0,0,0
La questione rimane allora decisamente aperta,La questione resta aperta,47.4206,0.5215,0,0,0
Adesso i nodi vengono al pettine,Ma tutti i nodi vengono al pettine,66.6667,0.8164,0,0,0
Ma questa non una Anzi,Ma non una,59.7222,0.625,0,0,0
Questo ancora un sogno,Ma questo stato solo un sogno,56.6667,0.1961,0,0,0
Era una gran bella coda,stata una bella giornata,4.7619,0.2041,0,0,0
Ed anche questo potrebbe essere solo la punta dell iceberg,Ma solo la punta dell iceberg,66.6667,0.83,0,0,0
Per ulteriori informazioni telefonare allo 051223120,Per informazioni telefonare allo 0516480706,79.1667,0.7938,0,0,0
Amava svegliarsi presto tutte le mattine per portare a spasso il suo grosso cane Eolo,Doveva annotare per ogni mese che doveva portare a spasso il cane e si a casa,11.2074,0.2824,0,0,0
La nostra risposta sarebbe stata no,La risposta stata no,60.4762,0.6389,0,0,0
I lavori dovrebbero terminare nel 2009,I lavori terminarono nel 1212,86.1111,0.7938,0,0,0
Purtroppo questo non possibile,Ma questo non stato possibile,66.6667,0.4331,0,0,0
